FirstName,LastName,FullName,FirstNameNative,LastNameNative,FullNameNative,Gender,Language
Takanori,Ito,Takanori Ito,隆則,伊藤,伊藤 隆則,Male,Japanese
Kiettisuk,Pornpradub,Kiettisuk Pornpradub,เกียรติศักดิ์,พรประดับ,เกียรติศักดิ์ พรประดับ,Male,Thai
Dhriti,Basu,Dhriti Basu,ধ্রুতি,বসু,ধ্রুতি বসু,Female,Bangla (Bangladesh)
Siha,Hean,Siha Hean,សីហា,ហ៊ាន,សីហា ហ៊ាន,Male,Khmer
Hyun-Ki,Sim,Hyun-Ki Sim,현기,심,심현기,Male,Korean
Joan,Villanueva,Joan Villanueva,Joan,Villanueva,Joan Villanueva,Female,Filipino
Upul,Amarasiri,Upul Amarasiri,උපුල්,අමරසිරි,උපුල් අමරසිරි,Male,Sinhala
Adriana,Gomes,Adriana Gomes,Adriana,Gomes,Adriana Gomes,Female,Portuguese
Christina,Vanou,Christina Vanou,Χριστίνα,Βάνου,Χριστίνα Βάνου,Female,Greek
Alonzo,Cotiy,Alonzo Cotiy,Alonzo,Cotiy,Alonzo Cotiy,Male,K'iche'
Jakub,Lukes,Jakub Lukes,Jakub,Lukeš,Jakub Lukeš,Male,Czech
Rene,Dolejsi,Rene Dolejsi,René,Dolejší,René Dolejší,Gender neutral,Czech
Vladyslav,Rudenko,Vladyslav Rudenko,Владислав,Руденко,Владислав Руденко,Male,Ukrainian
Sviatlana,Bahdzevich,Sviatlana Bahdzevich,Святлана,Багдзевіч,Святлана Багдзевіч,Female,Belarussian
You,Ke,You Ke,攸,柯,柯攸,Male,Chinese Simplified (China)
Zoran,Dimovski,Zoran Dimovski,Зоран,Димовски,Зоран Димовски,Male,Macedonian
Jovana,Knezevic,Jovana Knezevic,Јована,Кнежевић,Јована Кнежевић,Female,Serbian (Cyrillic - Serbia)
Robin,Kline,Robin Kline,Robin,Kline,Robin Kline,Gender neutral,English (United States)
Ares,Grau,Ares Grau,Ares,Grau,Ares Grau,Gender neutral,Catalan
Mahnaz,Qureshi,Mahnaz Qureshi,مہناز,قریشی,مہناز قریشی,Female,Urdu
