FirstName,LastName,FullName,FirstNameNative,LastNameNative,FullNameNative,Gender,Language
Mahym,Amangeldiyewa,Mahym Amangeldiyewa,Mahym,Amangeldiýewa,Mahym Amangeldiýewa,Female,Turkmen
Robina,Nauman,Robina Nauman,روبینہ,نعمان,روبینہ نعمان,Female,Punjabi (Pakistan)
Yong,Jia,Yong Jia,勇,贾,贾勇,Male,Chinese Simplified (China)
Aika,Sato,Aika Sato,愛花,佐藤,佐藤 愛花,Female,Japanese
Amy,Tsui,Amy Tsui,艾玫,崔,崔艾玫,Female,Chinese Traditional (Taiwan)
Chanok,Rattanakoson,Chanok Rattanakoson,ชนก,รัตนโกศล,ชนก รัตนโกศล,Gender neutral,Thai
Odette,Kankindi,Odette Kankindi,Odette,Kankindi,Odette Kankindi,Female,Kinyarwanda
Danaite,Alemseged,Danaite Alemseged,ዳናይት,ኣለምሰገድ,ዳናይት ኣለምሰገድ,Female,Tigrinya
Gurmeet,Dhillon,Gurmeet Dhillon,ਗੁਰਮੀਤ,ਢਿੱਲੋਂ,ਗੁਰਮੀਤ ਢਿੱਲੋਂ,Male,Punjabi (India)
Joshua,Harunkumar,Joshua Harunkumar,ஜோஷ்வா,ஹருன்குமார்,ஜோஷ்வா ஹருன்குமார்,Male,Tamil (India)
Aberehet,Gebre Tsadik,Aberehet Gebre Tsadik,ኣብርሄት,ገብረ ጻዲቅ,ኣብርሄት ገብረ ጻዲቅ,Female,Tigrinya
Bojan,Hribar,Bojan Hribar,Bojan,Hribar,Bojan Hribar,Male,Slovenian
Etleva,Hysa,Etleva Hysa,Etleva,Hysa,Etleva Hysa,Female,Albanian
Eugenia,Lopez,Eugenia Lopez,Eugenia,Lopez,Eugenia Lopez,Female,English (United States)
Dimitrios,Sirigos,Dimitrios Sirigos,Δημήτρης,Συρίγος,Δημήτρης Συρίγος,Male,Greek
Dusan,Serafimov,Dusan Serafimov,Душан,Серафимов,Душан Серафимов,Male,Macedonian
George,Manes,George Manes,Γιώργος,Μανές,Γιώργος Μανές,Male,Greek
Hai,Le,Le Hai,Hải,Lê,Lê Thị Hải,Female,Vietnamese
Paula,Núñez,Paula Núñez,Paula,Núñez,Paula Núñez,Female,Spanish (Mexico)
Jaap,De Graaf,Jaap De Graaf,Jaap,De Graaf,Jaap De Graaf,Male,Dutch
Klaharn,Suttirat,Klaharn Suttirat,กล้าหาญ,สุทธิรัตน์,กล้าหาญ สุทธิรัตน์,Male,Thai
Daniel,Mengestab,Daniel Mengestab,ዳንኤል,መንግስተኣብ,ዳንኤል መንግስተኣብ,Male,Tigrinya
Jerzy,Pawlak,Jerzy Pawlak,Jerzy,Pawlak,Jerzy Pawlak,Male,Polish
Andre,Barbosa,Andre Barbosa,André,Barbosa,André Barbosa,Male,Portuguese (Portugal)
Suma,Kini,Suma Kini,Suma,Kini,ಸುಮಾ ಕಿಣಿ,Female,Kannada
Joao,Cunha,Joao Cunha,João,Cunha,João Cunha,Male,Portuguese (Portugal)
